Churn,Tenure,City_Tier,CC_Contacted_LY,Payment,Gender,Service_Score,Account_user_count,account_segment,CC_Agent_Score,Marital_Status,rev_per_month,Complain_ly,rev_growth_yoy,coupon_used_for_payment,Day_Since_CC_connect,cashback,Login_device
1,4.0,3.0,6.0,2,0,3.0,3.0,3,2.0,2,9.0,1.0,11.0,1.0,5.0,159.93,1
1,0.0,1.0,8.0,4,1,3.0,4.0,2,3.0,2,7.0,1.0,15.0,0.0,0.0,120.9,1
1,0.0,1.0,30.0,2,1,2.0,4.0,2,3.0,2,6.0,1.0,14.0,0.0,3.0,,1
1,0.0,3.0,15.0,2,1,2.0,4.0,3,5.0,2,8.0,0.0,23.0,0.0,3.0,134.07,1
1,0.0,1.0,12.0,1,1,2.0,3.0,2,5.0,2,3.0,0.0,11.0,1.0,3.0,129.6,1
1,0.0,1.0,22.0,2,0,3.0,,2,5.0,2,2.0,1.0,22.0,4.0,7.0,139.19,0
1,2.0,3.0,11.0,0,1,2.0,3.0,3,2.0,0,4.0,0.0,14.0,0.0,0.0,120.86000000000001,1
1,0.0,1.0,6.0,1,1,3.0,3.0,2,2.0,0,3.0,1.0,16.0,2.0,0.0,122.93,1
1,13.0,3.0,9.0,3,1,2.0,4.0,2,3.0,0,2.0,1.0,14.0,0.0,2.0,126.83000000000001,1
1,0.0,1.0,31.0,2,1,2.0,5.0,2,3.0,2,2.0,0.0,12.0,1.0,1.0,122.93,1
1,4.0,,18.0,0,0,2.0,3.0,1,3.0,0,2.0,0.0,12.0,9.0,8.0,295.45,1
1,11.0,1.0,6.0,2,1,3.0,4.0,0,3.0,2,10.0,1.0,13.0,0.0,0.0,153.81,1
1,,1.0,11.0,0,1,2.0,3.0,2,3.0,2,2.0,1.0,13.0,2.0,2.0,134.41,1
1,0.0,1.0,15.0,1,1,3.0,4.0,2,3.0,0,1.0,1.0,17.0,0.0,0.0,133.88,1
1,9.0,3.0,15.0,1,1,3.0,4.0,0,2.0,2,2.0,0.0,16.0,0.0,7.0,196.19,1
1,,2.0,12.0,4,1,3.0,3.0,2,5.0,1,5.0,1.0,22.0,1.0,2.0,120.72999999999999,1
1,0.0,1.0,12.0,2,0,3.0,4.0,2,2.0,2,2.0,1.0,18.0,1.0,0.0,129.26,0
1,99.0,3.0,11.0,3,1,2.0,4.0,3,3.0,2,2.0,1.0,11.0,1.0,3.0,157.44,1
1,0.0,1.0,13.0,2,1,3.0,5.0,3,3.0,2,2.0,1.0,24.0,1.0,6.0,160.74,0
1,19.0,1.0,20.0,2,0,3.0,3.0,2,4.0,0,,,18.0,1.0,3.0,149.63,1
1,0.0,3.0,12.0,2,1,3.0,5.0,-1,3.0,0,5.0,1.0,18.0,6.0,7.0,161.72,1
1,20.0,1.0,29.0,1,0,3.0,3.0,0,2.0,0,2.0,0.0,12.0,11.0,6.0,203.12,1
1,0.0,3.0,28.0,3,1,2.0,3.0,2,3.0,2,2.0,1.0,19.0,0.0,0.0,116.75,1
1,0.0,3.0,26.0,2,0,3.0,5.0,3,3.0,0,4.0,1.0,11.0,1.0,2.0,,1
1,14.0,1.0,14.0,2,1,2.0,5.0,0,2.0,2,3.0,0.0,15.0,0.0,3.0,206.5,0
1,0.0,1.0,15.0,1,0,2.0,3.0,2,5.0,2,8.0,0.0,22.0,1.0,4.0,142.0,1
0,8.0,3.0,6.0,3,1,3.0,3.0,0,4.0,0,2.0,0.0,13.0,1.0,6.0,172.95,1
